date,region,resource_type,usage_cpu,usage_storage,users_active,service,economic_index,cloud_market_demand,holiday,cpu_total,storage_allocated,cpu_utilization,storage_efficiency,day_of_week,day_of_month,month,quarter,week_of_year,usage_cpu_lag1,usage_cpu_lag7,usage_cpu_lag30,usage_storage_lag1,usage_storage_lag7,usage_storage_lag30,users_active_lag1,users_active_lag7,users_active_lag30,usage_cpu_rolling_mean_7,usage_cpu_rolling_std_7,usage_storage_rolling_mean_7,usage_storage_rolling_std_7,users_active_rolling_mean_7,users_active_rolling_std_7
2023-01-11,North Europe,VM,77,1877,487,VM,114.66,0.98,0,100,2000,0.77,0.9413239719157472,2,11,1,1,2,73.0,87.0,73.0,1163.0,1160.0,1937.0,216.0,337.0,493.0,78.71428571428571,13.924969009113145,1219.142857142857,475.39857964008434,320.7142857142857,120.79971617752854
2023-01-11,Southeast Asia,VM,71,813,257,VM,114.66,0.98,0,100,2000,0.71,0.4097782258064516,2,11,1,1,2,60.0,94.0,93.0,935.0,1736.0,1356.0,410.0,380.0,248.0,78.42857142857143,12.094863136295249,1281.2857142857142,388.68784145537444,339.0,78.04272334219688
2023-01-11,North Europe,Container,74,1074,389,Container,114.66,0.98,0,100,2000,0.74,0.5435222672064778,2,11,1,1,2,89.0,62.0,82.0,865.0,712.0,959.0,427.0,441.0,221.0,68.42857142857143,13.91470616358994,1044.4285714285713,167.68209717881572,340.85714285714283,98.88112150697009
2023-01-11,North Europe,Storage,72,1353,250,Storage,114.66,0.98,0,100,2000,0.72,0.6889002036659878,2,11,1,1,2,54.0,72.0,51.0,647.0,1946.0,1715.0,476.0,264.0,476.0,69.28571428571429,9.464218328601136,840.0,308.61734667167906,330.7142857142857,91.88346656810151
2023-01-11,West US,Container,61,970,342,Container,114.66,0.98,0,100,2000,0.61,0.48841893252769386,2,11,1,1,2,72.0,51.0,52.0,542.0,904.0,1832.0,308.0,445.0,457.0,79.28571428571429,14.209319544044373,1130.2857142857142,492.88866703875266,363.7142857142857,60.444779994400044
2023-01-11,East US,VM,97,1562,369,VM,114.66,0.98,0,100,2000,0.97,0.7841365461847389,2,11,1,1,2,83.0,85.0,88.0,1275.0,623.0,1959.0,413.0,430.0,470.0,78.57142857142857,15.098091963966203,1103.857142857143,341.1546221150702,373.2857142857143,85.21485450654392
2023-01-11,West US,VM,69,820,463,VM,114.66,0.98,0,100,2000,0.69,0.41289023162134947,2,11,1,1,2,68.0,77.0,60.0,1080.0,1481.0,1982.0,286.0,213.0,287.0,71.42857142857143,14.281189759693742,1189.0,344.0896201088705,383.42857142857144,65.26064955968775
2023-01-11,East US,Container,56,535,372,Container,114.66,0.98,0,100,2000,0.56,0.2681704260651629,2,11,1,1,2,66.0,84.0,70.0,1455.0,1018.0,621.0,372.0,354.0,414.0,78.28571428571429,13.462469878818492,1177.142857142857,489.43383229040876,348.42857142857144,70.11385298892354
2023-01-11,East US,Storage,75,1420,212,Storage,114.66,0.98,0,100,2000,0.75,0.7128514056224899,2,11,1,1,2,57.0,99.0,92.0,1444.0,1586.0,1595.0,278.0,315.0,388.0,69.14285714285714,10.884676865951981,1160.7142857142858,368.458823699345,384.0,100.8910303248014
2023-01-11,Southeast Asia,Storage,71,804,379,Storage,114.66,0.98,0,100,2000,0.71,0.4125192406362237,2,11,1,1,2,56.0,67.0,76.0,998.0,672.0,1582.0,227.0,359.0,369.0,72.42857142857143,20.065369361640162,833.1428571428571,216.0265636223387,370.14285714285717,89.01391009542373
2023-01-11,West US,Storage,95,899,341,Storage,114.66,0.98,0,100,2000,0.95,0.4572736520854527,2,11,1,1,2,86.0,56.0,85.0,1531.0,1097.0,1371.0,399.0,332.0,351.0,87.42857142857143,5.2870011303556215,1361.4285714285713,363.6151157212149,350.0,90.0129620295507
2023-01-11,Southeast Asia,Container,91,1337,470,Container,114.66,0.98,0,100,2000,0.91,0.6721970839617899,2,11,1,1,2,92.0,85.0,77.0,941.0,964.0,1199.0,460.0,387.0,470.0,83.42857142857143,15.672238117736967,1042.0,492.19068120665037,438.2857142857143,43.75200675669742
2023-02-11,East US,Container,56,1063,459,Container,114.78,0.95,1,100,2000,0.56,0.5328320802005012,5,11,2,1,6,56.0,97.0,95.0,535.0,1915.0,1928.0,372.0,334.0,309.0,72.42857142857143,12.869306415617244,1055.4285714285713,365.6427478394979,366.2857142857143,80.91294557674166
2023-02-11,North Europe,Storage,55,553,246,Storage,114.78,0.95,1,100,2000,0.55,0.2815682281059063,5,11,2,1,6,72.0,76.0,74.0,1353.0,526.0,574.0,250.0,425.0,493.0,66.28571428571429,10.274795792200923,843.8571428571429,304.17562282965775,305.14285714285717,85.9892019799164
2023-02-11,East US,Storage,62,725,352,Storage,114.78,0.95,1,100,2000,0.62,0.36395582329317266,5,11,2,1,6,75.0,82.0,90.0,1420.0,897.0,1278.0,212.0,476.0,456.0,66.28571428571429,9.481812163545614,1136.142857142857,393.83728813281476,366.2857142857143,92.58998197377922
2023-02-11,West US,VM,57,1833,442,VM,114.78,0.95,1,100,2000,0.57,0.9229607250755287,5,11,2,1,6,69.0,52.0,85.0,820.0,900.0,1705.0,463.0,327.0,200.0,72.14285714285714,13.23415494630683,1322.2857142857142,390.99135296734914,399.85714285714283,63.12798790665554
2023-02-11,West US,Storage,94,1889,306,Storage,114.78,0.95,1,100,2000,0.94,0.9608341810783316,5,11,2,1,6,95.0,82.0,89.0,899.0,1187.0,1160.0,341.0,221.0,336.0,89.14285714285714,5.177791402666255,1461.7142857142858,402.2440031812014,362.14285714285717,74.02348404713325
2023-02-11,West US,Container,83,1324,417,Container,114.78,0.95,1,100,2000,0.83,0.6666666666666666,5,11,2,1,6,61.0,95.0,59.0,970.0,537.0,1959.0,342.0,429.0,316.0,77.57142857142857,12.634043201566433,1242.7142857142858,419.2635266296188,362.0,58.420886675914076
2023-02-11,North Europe,VM,90,1252,458,VM,114.78,0.95,1,100,2000,0.9,0.6278836509528586,5,11,2,1,6,77.0,94.0,75.0,1877.0,1062.0,1436.0,487.0,463.0,490.0,78.14285714285714,13.25931837650501,1246.2857142857142,470.3281529193968,320.0,119.82904489313108
2023-02-11,North Europe,Container,72,1188,208,Container,114.78,0.95,1,100,2000,0.72,0.6012145748987854,5,11,2,1,6,74.0,70.0,51.0,1074.0,1297.0,1733.0,389.0,296.0,216.0,68.71428571428571,13.972762620115446,1028.857142857143,143.65865627872765,328.2857142857143,110.45167010313344
2023-02-11,Southeast Asia,VM,84,1543,440,VM,114.78,0.95,1,100,2000,0.84,0.7777217741935484,5,11,2,1,6,71.0,77.0,92.0,813.0,1378.0,1454.0,257.0,346.0,450.0,79.42857142857143,12.24550452012413,1304.857142857143,400.35835138511806,352.42857142857144,87.01888136655016
2023-02-11,Southeast Asia,Container,67,561,344,Container,114.78,0.95,1,100,2000,0.67,0.28205128205128205,5,11,2,1,6,91.0,98.0,55.0,1337.0,516.0,1684.0,470.0,371.0,376.0,79.0,15.242484486898228,1048.4285714285713,484.40783682858836,434.42857142857144,51.22452909449127
2023-02-11,Southeast Asia,Storage,91,918,377,Storage,114.78,0.95,1,100,2000,0.91,0.4710107747562853,5,11,2,1,6,71.0,53.0,73.0,804.0,1046.0,524.0,379.0,391.0,379.0,77.85714285714286,19.04755952371652,814.8571428571429,199.81527183161705,368.14285714285717,88.62360214493003
2023-02-11,East US,VM,88,1963,210,VM,114.78,0.95,1,100,2000,0.88,0.9854417670682731,5,11,2,1,6,97.0,85.0,78.0,1562.0,660.0,1985.0,369.0,267.0,495.0,79.0,15.351438586225935,1290.0,407.61337891029376,365.14285714285717,98.7174901278536
2023-03-11,East US,Storage,59,1491,419,Storage,108.14,0.88,1,100,2000,0.59,0.7484939759036144,5,11,3,1,10,62.0,78.0,65.0,725.0,1093.0,1572.0,352.0,422.0,353.0,63.57142857142857,8.202786982831737,1193.0,414.7449015157794,365.85714285714283,92.29559139241803
2023-03-11,East US,VM,54,849,207,VM,108.14,0.88,1,100,2000,0.54,0.42620481927710846,5,11,3,1,10,88.0,57.0,91.0,1963.0,1326.0,1083.0,210.0,414.0,351.0,78.57142857142857,16.091997419599,1221.857142857143,439.23662133730335,335.57142857142856,111.78231396015076
