date,region,resource_type,usage_cpu,usage_storage,users_active
01-01-2023,East US,VM,88,1959,470
01-01-2023,East US,Storage,92,1595,388
01-01-2023,East US,Container,70,621,414
01-01-2023,West US,VM,60,1982,287
01-01-2023,West US,Storage,85,1371,351
01-01-2023,West US,Container,52,1832,457
01-01-2023,North Europe,VM,73,1937,493
01-01-2023,North Europe,Storage,51,1715,476
01-01-2023,North Europe,Container,82,959,221
01-01-2023,Southeast Asia,VM,93,1356,248
01-01-2023,Southeast Asia,Storage,76,1582,369
01-01-2023,Southeast Asia,Container,77,1199,470
02-01-2023,East US,VM,96,1457,250
02-01-2023,East US,Storage,93,1767,330
02-01-2023,East US,Container,86,1146,220
02-01-2023,West US,VM,58,666,473
02-01-2023,West US,Storage,53,1100,213
02-01-2023,West US,Container,99,1276,252
02-01-2023,North Europe,VM,51,1863,291
02-01-2023,North Europe,Storage,96,1455,463
02-01-2023,North Europe,Container,96,534,405
02-01-2023,Southeast Asia,VM,66,1911,201
02-01-2023,Southeast Asia,Storage,55,1065,305
02-01-2023,Southeast Asia,Container,53,1202,417
03-01-2023,East US,VM,93,661,401
03-01-2023,East US,Storage,85,769,470
03-01-2023,East US,Container,57,1985,414
03-01-2023,West US,VM,89,1219,436
03-01-2023,West US,Storage,67,1378,252
03-01-2023,West US,Container,73,716,451
03-01-2023,North Europe,VM,94,1564,356
03-01-2023,North Europe,Storage,64,564,208
03-01-2023,North Europe,Container,73,1652,335
03-01-2023,Southeast Asia,VM,73,1586,338
03-01-2023,Southeast Asia,Storage,66,891,362
03-01-2023,Southeast Asia,Container,84,788,460
04-01-2023,East US,VM,91,730,240
04-01-2023,East US,Storage,77,634,400
04-01-2023,East US,Container,57,1279,232
04-01-2023,West US,VM,97,1002,261
04-01-2023,West US,Storage,73,1304,298
04-01-2023,West US,Container,93,1225,234
04-01-2023,North Europe,VM,50,1112,330
04-01-2023,North Europe,Storage,50,1528,417
04-01-2023,North Europe,Container,63,1370,482
04-01-2023,Southeast Asia,VM,58,706,214
04-01-2023,Southeast Asia,Storage,75,1391,378
04-01-2023,Southeast Asia,Container,81,1242,440
05-01-2023,East US,VM,81,984,430
05-01-2023,East US,Storage,94,1694,228
05-01-2023,East US,Container,85,1024,359
05-01-2023,West US,VM,56,1766,285
05-01-2023,West US,Storage,77,1077,369
05-01-2023,West US,Container,94,1512,333
05-01-2023,North Europe,VM,77,1551,307
05-01-2023,North Europe,Storage,93,1863,485
05-01-2023,North Europe,Container,60,1871,430
05-01-2023,Southeast Asia,VM,82,1908,482
05-01-2023,Southeast Asia,Storage,62,1782,397
05-01-2023,Southeast Asia,Container,57,1934,336
06-01-2023,East US,VM,86,1748,433
06-01-2023,East US,Storage,93,1163,359
06-01-2023,East US,Container,81,1995,432
06-01-2023,West US,VM,98,941,251
06-01-2023,West US,Storage,61,1909,312
06-01-2023,West US,Container,86,1451,280
06-01-2023,North Europe,VM,98,501,329
06-01-2023,North Europe,Storage,77,1354,423
06-01-2023,North Europe,Container,82,884,325
06-01-2023,Southeast Asia,VM,51,1576,371
06-01-2023,Southeast Asia,Storage,75,1939,446
06-01-2023,Southeast Asia,Container,53,1962,402
07-01-2023,East US,VM,66,1266,493
07-01-2023,East US,Storage,73,1383,297
07-01-2023,East US,Container,55,1481,439
07-01-2023,West US,VM,65,1108,400
07-01-2023,West US,Storage,55,963,458
07-01-2023,West US,Container,69,1263,346
07-01-2023,North Europe,VM,69,1363,398
07-01-2023,North Europe,Storage,90,1428,327
07-01-2023,North Europe,Container,88,837,328
07-01-2023,Southeast Asia,VM,60,972,350
07-01-2023,Southeast Asia,Storage,80,1821,298
07-01-2023,Southeast Asia,Container,56,643,311
08-01-2023,East US,VM,98,501,453
08-01-2023,East US,Storage,61,952,236
08-01-2023,East US,Container,81,1514,208
08-01-2023,West US,VM,90,1622,346
08-01-2023,West US,Storage,97,707,330
08-01-2023,West US,Container,69,651,253
08-01-2023,North Europe,VM,82,1127,274
08-01-2023,North Europe,Storage,98,1943,303
